# Crashlytics - Stack trace
# Application: com.tetsukick.indonesia.flash.card
# Platform: apple
# Version: 3.5.3 (101)
# Issue: 4353707ea534c87a29e09f97ad522aec
# Session: 80fdecd83ce34ffd9b8e65c76dfe2207_DNE_0_v2
# Date: Sat Jul 19 2025 22:53:44 GMT+0700 (Western Indonesia Time)

Fatal Exception: FlutterError
0   ???                            0x0 _AdWidgetState.build + 693 (ad_containers.dart:693)
1   ???                            0x0 StatefulElement.build + 5823 (framework.dart:5823)
2   ???                            0x0 ComponentElement.performRebuild + 5715 (framework.dart:5715)
3   ???                            0x0 StatefulElement.performRebuild + 5874 (framework.dart:5874)
4   ???                            0x0 Element.rebuild + 5427 (framework.dart:5427)
5   ???                            0x0 StatefulElement.update + 5899 (framework.dart:5899)
6   ???                            0x0 Element.updateChild + 3982 (framework.dart:3982)
7   ???                            0x0 SingleChildRenderObjectElement.update + 7015 (framework.dart:7015)
8   ???                            0x0 Element.updateChild + 3982 (framework.dart:3982)
9   ???                            0x0 Element.updateChildren + 4140 (framework.dart:4140)
10  ???                            0x0 MultiChildRenderObjectElement.update + 7192 (framework.dart:7192)
11  ???                            0x0 Element.updateChild + 3982 (framework.dart:3982)
12  ???                            0x0 SingleChildRenderObjectElement.update + 7015 (framework.dart:7015)
13  ???                            0x0 Element.updateChild + 3982 (framework.dart:3982)
14  ???                            0x0 SingleChildRenderObjectElement.update + 7015 (framework.dart:7015)
15  ???                            0x0 Element.updateChild + 3982 (framework.dart:3982)
16  ???                            0x0 SingleChildRenderObjectElement.update + 7015 (framework.dart:7015)
17  ???                            0x0 Element.updateChild + 3982 (framework.dart:3982)
18  ???                            0x0 SingleChildRenderObjectElement.update + 7015 (framework.dart:7015)
19  ???                            0x0 Element.updateChild + 3982 (framework.dart:3982)
20  ???                            0x0 SingleChildRenderObjectElement.update + 7015 (framework.dart:7015)
21  ???                            0x0 Element.updateChild + 3982 (framework.dart:3982)
22  ???                            0x0 SingleChildRenderObjectElement.update + 7015 (framework.dart:7015)
23  ???                            0x0 Element.updateChild + 3982 (framework.dart:3982)
24  ???                            0x0 ComponentElement.performRebuild + 5738 (framework.dart:5738)
25  ???                            0x0 StatefulElement.performRebuild + 5874 (framework.dart:5874)
26  ???                            0x0 Element.rebuild + 5427 (framework.dart:5427)
27  ???                            0x0 StatefulElement.update + 5899 (framework.dart:5899)
28  ???                            0x0 Element.updateChild + 3982 (framework.dart:3982)
29  ???                            0x0 SingleChildRenderObjectElement.update + 7015 (framework.dart:7015)
30  ???                            0x0 Element.updateChild + 3982 (framework.dart:3982)
31  ???                            0x0 ComponentElement.performRebuild + 5738 (framework.dart:5738)
32  ???                            0x0 Element.rebuild + 5427 (framework.dart:5427)
33  ???                            0x0 ProxyElement.update + 6041 (framework.dart:6041)
34  ???                            0x0 Element.updateChild + 3982 (framework.dart:3982)
35  ???                            0x0 SingleChildRenderObjectElement.update + 7015 (framework.dart:7015)
36  ???                            0x0 Element.updateChild + 3982 (framework.dart:3982)
37  ???                            0x0 ComponentElement.performRebuild + 5738 (framework.dart:5738)
38  ???                            0x0 Element.rebuild + 5427 (framework.dart:5427)
39  ???                            0x0 ProxyElement.update + 6041 (framework.dart:6041)
40  ???                            0x0 Element.updateChild + 3982 (framework.dart:3982)
41  ???                            0x0 ComponentElement.performRebuild + 5738 (framework.dart:5738)
42  ???                            0x0 StatefulElement.performRebuild + 5874 (framework.dart:5874)
43  ???                            0x0 Element.rebuild + 5427 (framework.dart:5427)
44  ???                            0x0 StatefulElement.update + 5899 (framework.dart:5899)
45  ???                            0x0 Element.updateChild + 3982 (framework.dart:3982)
46  ???                            0x0 ComponentElement.performRebuild + 5738 (framework.dart:5738)
47  ???                            0x0 Element.rebuild + 5427 (framework.dart:5427)
48  ???                            0x0 StatelessElement.update + 5787 (framework.dart:5787)
49  ???                            0x0 Element.updateChild + 3982 (framework.dart:3982)
50  ???                            0x0 SingleChildRenderObjectElement.update + 7015 (framework.dart:7015)
51  ???                            0x0 Element.updateChild + 3982 (framework.dart:3982)
52  ???                            0x0 Element.updateChildren + 4140 (framework.dart:4140)
53  ???                            0x0 MultiChildRenderObjectElement.update + 7192 (framework.dart:7192)
54  ???                            0x0 _ViewportElement.update + 256 (viewport.dart:256)
55  ???                            0x0 Element.updateChild + 3982 (framework.dart:3982)
56  ???                            0x0 SingleChildRenderObjectElement.update + 7015 (framework.dart:7015)
57  ???                            0x0 Element.updateChild + 3982 (framework.dart:3982)
58  ???                            0x0 SingleChildRenderObjectElement.update + 7015 (framework.dart:7015)
59  ???                            0x0 Element.updateChild + 3982 (framework.dart:3982)
60  ???                            0x0 SingleChildRenderObjectElement.update + 7015 (framework.dart:7015)
61  ???                            0x0 Element.updateChild + 3982 (framework.dart:3982)
62  ???                            0x0 SingleChildRenderObjectElement.update + 7015 (framework.dart:7015)
63  ???                            0x0 Element.updateChild + 3982 (framework.dart:3982)
64  ???                            0x0 ComponentElement.performRebuild + 5738 (framework.dart:5738)
65  ???                            0x0 StatefulElement.performRebuild + 5874 (framework.dart:5874)
66  ???                            0x0 Element.rebuild + 5427 (framework.dart:5427)
67  ???                            0x0 StatefulElement.update + 5899 (framework.dart:5899)
68  ???                            0x0 Element.updateChild + 3982 (framework.dart:3982)
69  ???                            0x0 SingleChildRenderObjectElement.update + 7015 (framework.dart:7015)
70  ???                            0x0 Element.updateChild + 3982 (framework.dart:3982)
71  ???                            0x0 ComponentElement.performRebuild + 5738 (framework.dart:5738)
72  ???                            0x0 Element.rebuild + 5427 (framework.dart:5427)
73  ???                            0x0 ProxyElement.update + 6041 (framework.dart:6041)
74  ???                            0x0 Element.updateChild + 3982 (framework.dart:3982)
75  ???                            0x0 SingleChildRenderObjectElement.update + 7015 (framework.dart:7015)
76  ???                            0x0 Element.updateChild + 3982 (framework.dart:3982)
77  ???                            0x0 ComponentElement.performRebuild + 5738 (framework.dart:5738)
78  ???                            0x0 Element.rebuild + 5427 (framework.dart:5427)
79  ???                            0x0 ProxyElement.update + 6041 (framework.dart:6041)
80  ???                            0x0 Element.updateChild + 3982 (framework.dart:3982)
81  ???                            0x0 ComponentElement.performRebuild + 5738 (framework.dart:5738)
